Time,Station,Load,EV_count
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,37,1
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,38,1
1,10,37,1
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,42,1
2,6,0,0
2,7,0,0
2,8,0,0
2,9,38,1
2,10,37,1
3,1,0,0
3,2,0,0
3,3,49,1
3,4,0,0
3,5,42,1
3,6,0,0
3,7,0,0
3,8,0,0
3,9,38,1
3,10,37,1
4,1,0,0
4,2,47,1
4,3,49,1
4,4,0,0
4,5,42,1
4,6,0,0
4,7,0,0
4,8,0,0
4,9,38,1
4,10,37,1
5,1,0,0
5,2,77,2
5,3,49,1
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,38,1
5,10,37,1
6,1,0,0
6,2,77,2
6,3,49,1
6,4,0,0
6,5,0,0
6,6,16,1
6,7,0,0
6,8,0,0
6,9,38,1
6,10,37,1
7,1,0,0
7,2,77,2
7,3,49,1
7,4,0,0
7,5,0,0
7,6,16,1
7,7,0,0
7,8,22,1
7,9,38,1
7,10,0,0
8,1,0,0
8,2,77,2
8,3,49,1
8,4,0,0
8,5,0,0
8,6,33,2
8,7,0,0
8,8,22,1
8,9,38,1
8,10,0,0
9,1,0,0
9,2,77,2
9,3,49,1
9,4,0,0
9,5,0,0
9,6,33,2
9,7,0,0
9,8,22,1
9,9,38,1
9,10,0,0
10,1,0,0
10,2,77,2
10,3,49,1
10,4,0,0
10,5,0,0
10,6,33,2
10,7,0,0
10,8,22,1
10,9,76,2
10,10,0,0
11,1,0,0
11,2,77,2
11,3,49,1
11,4,0,0
11,5,0,0
11,6,33,2
11,7,0,0
11,8,0,0
11,9,76,2
11,10,17,1
12,1,0,0
12,2,77,2
12,3,49,1
12,4,0,0
12,5,0,0
12,6,74,3
12,7,0,0
12,8,0,0
12,9,76,2
12,10,17,1
13,1,0,0
13,2,115,3
13,3,49,1
13,4,0,0
13,5,0,0
13,6,74,3
13,7,0,0
13,8,0,0
13,9,76,2
13,10,17,1
14,1,0,0
14,2,68,2
14,3,49,1
14,4,0,0
14,5,0,0
14,6,74,3
14,7,0,0
14,8,0,0
14,9,76,2
14,10,0,0
15,1,0,0
15,2,68,2
15,3,60,2
15,4,0,0
15,5,0,0
15,6,74,3
15,7,0,0
15,8,0,0
15,9,76,2
15,10,0,0
16,1,0,0
16,2,68,2
16,3,60,2
16,4,0,0
16,5,0,0
16,6,74,3
16,7,0,0
16,8,0,0
16,9,76,2
16,10,28,1
17,1,0,0
17,2,68,2
17,3,60,2
17,4,0,0
17,5,0,0
17,6,74,3
17,7,0,0
17,8,0,0
17,9,76,2
17,10,28,1
18,1,0,0
18,2,68,2
18,3,60,2
18,4,0,0
18,5,0,0
18,6,116,4
18,7,0,0
18,8,0,0
18,9,76,2
18,10,28,1
19,1,0,0
19,2,68,2
19,3,60,2
19,4,0,0
19,5,0,0
19,6,116,4
19,7,24,1
19,8,0,0
19,9,76,2
19,10,28,1
20,1,0,0
20,2,68,2
20,3,106,3
20,4,0,0
20,5,0,0
20,6,116,4
20,7,24,1
20,8,0,0
20,9,76,2
20,10,28,1
21,1,0,0
21,2,68,2
21,3,106,3
21,4,0,0
21,5,0,0
21,6,116,4
21,7,24,1
21,8,0,0
21,9,76,2
21,10,28,1
22,1,0,0
22,2,68,2
22,3,106,3
22,4,0,0
22,5,0,0
22,6,116,4
22,7,24,1
22,8,0,0
22,9,76,2
22,10,0,0
23,1,0,0
23,2,68,2
23,3,106,3
23,4,0,0
23,5,0,0
23,6,116,4
23,7,24,1
23,8,43,1
23,9,76,2
23,10,0,0
24,1,0,0
24,2,68,2
24,3,106,3
24,4,0,0
24,5,0,0
24,6,116,4
24,7,49,2
24,8,43,1
24,9,76,2
24,10,0,0
25,1,0,0
25,2,68,2
25,3,106,3
25,4,0,0
25,5,0,0
25,6,116,4
25,7,74,3
25,8,43,1
25,9,76,2
25,10,0,0
26,1,0,0
26,2,68,2
26,3,106,3
26,4,0,0
26,5,0,0
26,6,116,4
26,7,74,3
26,8,43,1
26,9,76,2
26,10,0,0
27,1,0,0
27,2,68,2
27,3,106,3
27,4,0,0
27,5,0,0
27,6,116,4
27,7,74,3
27,8,43,1
27,9,76,2
27,10,0,0
28,1,0,0
28,2,68,2
28,3,72,3
28,4,0,0
28,5,0,0
28,6,116,4
28,7,74,3
28,8,43,1
28,9,76,2
28,10,0,0
29,1,0,0
29,2,68,2
29,3,72,3
29,4,0,0
29,5,0,0
29,6,100,3
29,7,74,3
29,8,43,1
29,9,76,2
29,10,0,0
30,1,0,0
30,2,68,2
30,3,72,3
30,4,0,0
30,5,0,0
30,6,83,2
30,7,74,3
30,8,43,1
30,9,117,3
30,10,0,0
31,1,0,0
31,2,68,2
31,3,72,3
31,4,0,0
31,5,0,0
31,6,83,2
31,7,74,3
31,8,71,2
31,9,117,3
31,10,0,0
32,1,0,0
32,2,68,2
32,3,72,3
32,4,0,0
32,5,0,0
32,6,83,2
32,7,74,3
32,8,71,2
32,9,117,3
32,10,0,0
33,1,0,0
33,2,68,2
33,3,96,4
33,4,0,0
33,5,0,0
33,6,83,2
33,7,74,3
33,8,71,2
33,9,117,3
33,10,0,0
34,1,0,0
34,2,68,2
34,3,96,4
34,4,0,0
34,5,0,0
34,6,83,2
34,7,111,4
34,8,71,2
34,9,117,3
34,10,0,0
35,1,29,1
35,2,68,2
35,3,96,4
35,4,0,0
35,5,0,0
35,6,83,2
35,7,111,4
35,8,71,2
35,9,117,3
35,10,0,0
36,1,29,1
36,2,68,2
36,3,107,5
36,4,0,0
36,5,0,0
36,6,83,2
36,7,111,4
36,8,71,2
36,9,117,3
36,10,0,0
37,1,29,1
37,2,38,1
37,3,107,5
37,4,0,0
37,5,0,0
37,6,83,2
37,7,111,4
37,8,100,3
37,9,117,3
37,10,0,0
38,1,29,1
38,2,0,0
38,3,107,5
38,4,0,0
38,5,0,0
38,6,83,2
38,7,111,4
38,8,127,4
38,9,117,3
38,10,0,0
39,1,29,1
39,2,0,0
39,3,107,5
39,4,0,0
39,5,0,0
39,6,83,2
39,7,111,4
39,8,140,5
39,9,117,3
39,10,0,0
40,1,29,1
40,2,0,0
40,3,107,5
40,4,48,1
40,5,0,0
40,6,83,2
40,7,111,4
40,8,140,5
40,9,117,3
40,10,0,0
41,1,29,1
41,2,0,0
41,3,107,5
41,4,48,1
41,5,21,1
41,6,83,2
41,7,87,3
41,8,140,5
41,9,117,3
41,10,0,0
42,1,29,1
42,2,0,0
42,3,155,6
42,4,0,0
42,5,21,1
42,6,83,2
42,7,62,2
42,8,140,5
42,9,117,3
42,10,0,0
43,1,29,1
43,2,0,0
43,3,166,7
43,4,0,0
43,5,21,1
43,6,83,2
43,7,62,2
43,8,140,5
43,9,117,3
43,10,0,0
44,1,29,1
44,2,0,0
44,3,166,7
44,4,0,0
44,5,21,1
44,6,83,2
44,7,62,2
44,8,140,5
44,9,117,3
44,10,0,0
45,1,29,1
45,2,0,0
45,3,166,7
45,4,46,1
45,5,21,1
45,6,83,2
45,7,62,2
45,8,140,5
45,9,117,3
45,10,0,0
46,1,29,1
46,2,0,0
46,3,166,7
46,4,46,1
46,5,21,1
46,6,83,2
46,7,78,3
46,8,140,5
46,9,117,3
46,10,0,0
47,1,29,1
47,2,0,0
47,3,166,7
47,4,46,1
47,5,21,1
47,6,124,3
47,7,78,3
47,8,140,5
47,9,117,3
47,10,0,0
48,1,29,1
48,2,0,0
48,3,166,7
48,4,46,1
48,5,21,1
48,6,124,3
48,7,78,3
48,8,140,5
48,9,164,4
48,10,0,0
49,1,29,1
49,2,0,0
49,3,166,7
49,4,46,1
49,5,21,1
49,6,124,3
49,7,78,3
49,8,140,5
49,9,164,4
49,10,0,0
50,1,29,1
50,2,0,0
50,3,166,7
50,4,46,1
50,5,21,1
50,6,124,3
50,7,78,3
50,8,140,5
50,9,164,4
50,10,0,0
51,1,29,1
51,2,0,0
51,3,166,7
51,4,46,1
51,5,32,2
51,6,124,3
51,7,78,3
51,8,140,5
51,9,164,4
51,10,0,0
52,1,29,1
52,2,0,0
52,3,166,7
52,4,46,1
52,5,32,2
52,6,150,4
52,7,78,3
52,8,140,5
52,9,164,4
52,10,0,0
53,1,29,1
53,2,0,0
53,3,202,8
53,4,46,1
53,5,32,2
53,6,150,4
53,7,78,3
53,8,140,5
53,9,126,3
53,10,0,0
54,1,29,1
54,2,0,0
54,3,202,8
54,4,46,1
54,5,32,2
54,6,150,4
54,7,78,3
54,8,140,5
54,9,158,4
54,10,0,0
55,1,29,1
55,2,0,0
55,3,202,8
55,4,46,1
55,5,11,1
55,6,150,4
55,7,78,3
55,8,140,5
55,9,158,4
55,10,0,0
56,1,29,1
56,2,0,0
56,3,202,8
56,4,46,1
56,5,11,1
56,6,150,4
56,7,98,4
56,8,140,5
56,9,158,4
56,10,0,0
57,1,29,1
57,2,0,0
57,3,202,8
57,4,46,1
57,5,11,1
57,6,150,4
57,7,129,5
57,8,140,5
57,9,158,4
57,10,0,0
58,1,65,2
58,2,0,0
58,3,202,8
58,4,46,1
58,5,11,1
58,6,150,4
58,7,129,5
58,8,140,5
58,9,158,4
58,10,0,0
59,1,88,3
59,2,0,0
59,3,202,8
59,4,46,1
59,5,11,1
59,6,150,4
59,7,129,5
59,8,140,5
59,9,158,4
59,10,0,0
60,1,88,3
60,2,0,0
60,3,202,8
60,4,46,1
60,5,11,1
60,6,150,4
60,7,129,5
60,8,140,5
60,9,158,4
60,10,0,0
61,1,88,3
61,2,0,0
61,3,202,8
61,4,46,1
61,5,11,1
61,6,150,4
61,7,129,5
61,8,140,5
61,9,158,4
61,10,0,0
62,1,88,3
62,2,0,0
62,3,202,8
62,4,46,1
62,5,11,1
62,6,150,4
62,7,129,5
62,8,140,5
62,9,182,5
62,10,0,0
63,1,88,3
63,2,0,0
63,3,202,8
63,4,46,1
63,5,39,2
63,6,150,4
63,7,129,5
63,8,140,5
63,9,182,5
63,10,0,0
64,1,88,3
64,2,0,0
64,3,202,8
64,4,46,1
64,5,39,2
64,6,150,4
64,7,129,5
64,8,173,6
64,9,182,5
64,10,0,0
65,1,88,3
65,2,0,0
65,3,202,8
65,4,46,1
65,5,39,2
65,6,150,4
65,7,165,6
65,8,173,6
65,9,182,5
65,10,0,0
66,1,88,3
66,2,0,0
66,3,202,8
66,4,46,1
