Time,Station,Load,EV_count
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,41,1
0,8,0,0
0,9,0,0
0,10,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,41,1
1,8,0,0
1,9,0,0
1,10,24,1
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,41,1
2,8,0,0
2,9,0,0
2,10,24,1
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,22,1
3,10,24,1
4,1,0,0
4,2,0,0
4,3,0,0
4,4,0,0
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,9,22,1
4,10,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,5,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,22,1
5,10,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,6,0,0
6,7,0,0
6,8,0,0
6,9,22,1
6,10,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,7,0,0
7,8,0,0
7,9,22,1
7,10,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,8,0,0
8,9,22,1
8,10,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,26,1
9,9,22,1
9,10,0,0
10,1,0,0
10,2,0,0
10,3,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,26,1
10,9,22,1
10,10,23,1
11,1,0,0
11,2,0,0
11,3,0,0
11,4,0,0
11,5,0,0
11,6,0,0
11,7,0,0
11,8,0,0
11,9,22,1
11,10,69,2
12,1,0,0
12,2,0,0
12,3,0,0
12,4,0,0
12,5,0,0
12,6,0,0
12,7,0,0
12,8,15,1
12,9,22,1
12,10,69,2
13,1,0,0
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,0
13,6,0,0
13,7,0,0
13,8,15,1
13,9,22,1
13,10,115,3
14,1,0,0
14,2,0,0
14,3,0,0
14,4,0,0
14,5,0,0
14,6,0,0
14,7,0,0
14,8,15,1
14,9,22,1
14,10,115,3
15,1,0,0
15,2,0,0
15,3,0,0
15,4,0,0
15,5,0,0
15,6,0,0
15,7,0,0
15,8,15,1
15,9,22,1
15,10,115,3
16,1,0,0
16,2,0,0
16,3,0,0
16,4,0,0
16,5,0,0
16,6,0,0
16,7,0,0
16,8,15,1
16,9,22,1
16,10,115,3
17,1,0,0
17,2,0,0
17,3,0,0
17,4,37,1
17,5,0,0
17,6,0,0
17,7,0,0
17,8,15,1
17,9,22,1
17,10,115,3
18,1,0,0
18,2,0,0
18,3,0,0
18,4,37,1
18,5,0,0
18,6,0,0
18,7,0,0
18,8,15,1
18,9,22,1
18,10,115,3
19,1,0,0
19,2,0,0
19,3,0,0
19,4,37,1
19,5,0,0
19,6,0,0
19,7,0,0
19,8,15,1
19,9,22,1
19,10,150,4
20,1,0,0
20,2,0,0
20,3,0,0
20,4,37,1
20,5,0,0
20,6,0,0
20,7,0,0
20,8,15,1
20,9,22,1
20,10,150,4
21,1,0,0
21,2,0,0
21,3,0,0
21,4,0,0
21,5,0,0
21,6,0,0
21,7,26,1
21,8,0,0
21,9,22,1
21,10,150,4
22,1,0,0
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,26,1
22,8,0,0
22,9,22,1
22,10,150,4
23,1,0,0
23,2,0,0
23,3,0,0
23,4,0,0
23,5,0,0
23,6,0,0
23,7,26,1
23,8,0,0
23,9,22,1
23,10,150,4
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,0
24,6,0,0
24,7,26,1
24,8,0,0
24,9,54,2
24,10,150,4
25,1,0,0
25,2,0,0
25,3,0,0
25,4,0,0
25,5,0,0
25,6,0,0
25,7,26,1
25,8,0,0
25,9,54,2
25,10,176,5
26,1,0,0
26,2,0,0
26,3,0,0
26,4,0,0
26,5,0,0
26,6,0,0
26,7,26,1
26,8,0,0
26,9,54,2
26,10,198,6
27,1,0,0
27,2,0,0
27,3,0,0
27,4,0,0
27,5,0,0
27,6,0,0
27,7,26,1
27,8,0,0
27,9,96,3
27,10,198,6
28,1,0,0
28,2,0,0
28,3,0,0
28,4,0,0
28,5,0,0
28,6,0,0
28,7,26,1
28,8,0,0
28,9,96,3
28,10,211,7
29,1,0,0
29,2,0,0
29,3,0,0
29,4,0,0
29,5,0,0
29,6,0,0
29,7,26,1
29,8,0,0
29,9,96,3
29,10,251,8
30,1,0,0
30,2,0,0
30,3,0,0
30,4,0,0
30,5,0,0
30,6,0,0
30,7,26,1
30,8,0,0
30,9,96,3
30,10,263,9
31,1,0,0
31,2,0,0
31,3,0,0
31,4,0,0
31,5,0,0
31,6,0,0
31,7,26,1
31,8,0,0
31,9,96,3
31,10,263,9
32,1,0,0
32,2,0,0
32,3,0,0
32,4,0,0
32,5,0,0
32,6,0,0
32,7,26,1
32,8,0,0
32,9,96,3
32,10,263,9
33,1,0,0
33,2,0,0
33,3,0,0
33,4,0,0
33,5,0,0
33,6,0,0
33,7,26,1
33,8,0,0
33,9,96,3
33,10,273,10
34,1,0,0
34,2,0,0
34,3,0,0
34,4,0,0
34,5,0,0
34,6,0,0
34,7,40,2
34,8,0,0
34,9,96,3
34,10,273,10
35,1,0,0
35,2,0,0
35,3,0,0
35,4,0,0
35,5,0,0
35,6,0,0
35,7,40,2
35,8,0,0
35,9,74,2
35,10,273,10
36,1,0,0
36,2,0,0
36,3,0,0
36,4,0,0
36,5,0,0
36,6,0,0
36,7,40,2
36,8,0,0
36,9,117,3
36,10,273,10
37,1,0,0
37,2,0,0
37,3,0,0
37,4,0,0
37,5,0,0
37,6,0,0
37,7,40,2
37,8,0,0
37,9,117,3
37,10,273,10
38,1,0,0
38,2,0,0
38,3,0,0
38,4,0,0
38,5,0,0
38,6,0,0
38,7,40,2
38,8,0,0
38,9,117,3
38,10,313,11
39,1,0,0
39,2,0,0
39,3,0,0
39,4,0,0
39,5,0,0
39,6,0,0
39,7,40,2
39,8,0,0
39,9,147,4
39,10,313,11
40,1,0,0
40,2,0,0
40,3,0,0
40,4,0,0
40,5,0,0
40,6,0,0
40,7,14,1
40,8,0,0
40,9,147,4
40,10,313,11
41,1,0,0
41,2,0,0
41,3,0,0
41,4,10,1
41,5,0,0
41,6,0,0
41,7,14,1
41,8,0,0
41,9,147,4
41,10,290,10
42,1,0,0
42,2,0,0
42,3,0,0
42,4,10,1
42,5,0,0
42,6,0,0
42,7,14,1
42,8,0,0
42,9,192,5
42,10,244,9
43,1,0,0
43,2,0,0
43,3,0,0
43,4,10,1
43,5,0,0
43,6,0,0
43,7,14,1
43,8,0,0
43,9,192,5
43,10,198,8
44,1,0,0
44,2,0,0
44,3,0,0
44,4,10,1
44,5,0,0
44,6,0,0
44,7,14,1
44,8,0,0
44,9,192,5
44,10,173,8
45,1,0,0
45,2,0,0
45,3,0,0
45,4,10,1
45,5,0,0
45,6,0,0
45,7,32,2
45,8,0,0
45,9,192,5
45,10,147,7
46,1,0,0
46,2,0,0
46,3,0,0
46,4,10,1
46,5,0,0
46,6,0,0
46,7,32,2
46,8,0,0
46,9,192,5
46,10,125,6
47,1,0,0
47,2,0,0
47,3,0,0
47,4,10,1
47,5,0,0
47,6,0,0
47,7,32,2
47,8,11,1
47,9,192,5
47,10,112,5
48,1,0,0
48,2,0,0
48,3,0,0
48,4,10,1
48,5,0,0
48,6,0,0
48,7,32,2
48,8,11,1
48,9,192,5
48,10,118,5
49,1,0,0
49,2,0,0
49,3,0,0
49,4,10,1
49,5,0,0
49,6,0,0
49,7,32,2
49,8,50,2
49,9,192,5
49,10,106,4
50,1,0,0
50,2,0,0
50,3,0,0
50,4,10,1
50,5,0,0
50,6,0,0
50,7,32,2
50,8,50,2
50,9,203,6
50,10,96,3
51,1,0,0
51,2,0,0
51,3,0,0
51,4,0,0
51,5,0,0
51,6,0,0
51,7,32,2
51,8,50,2
51,9,235,7
51,10,96,3
52,1,0,0
52,2,0,0
52,3,0,0
52,4,0,0
52,5,0,0
52,6,0,0
52,7,32,2
52,8,50,2
52,9,235,7
52,10,96,3
53,1,0,0
53,2,0,0
53,3,0,0
53,4,0,0
53,5,0,0
53,6,0,0
53,7,32,2
53,8,50,2
53,9,235,7
53,10,96,3
54,1,0,0
54,2,0,0
54,3,0,0
54,4,0,0
54,5,0,0
54,6,0,0
54,7,32,2
54,8,50,2
54,9,235,7
54,10,143,4
55,1,0,0
55,2,0,0
55,3,0,0
55,4,0,0
55,5,0,0
55,6,0,0
55,7,32,2
55,8,50,2
55,9,235,7
55,10,143,4
56,1,0,0
56,2,0,0
56,3,0,0
56,4,0,0
56,5,0,0
56,6,0,0
56,7,32,2
56,8,50,2
56,9,235,7
56,10,187,5
57,1,0,0
57,2,0,0
57,3,0,0
57,4,0,0
57,5,0,0
57,6,0,0
57,7,32,2
57,8,50,2
57,9,235,7
57,10,187,5
58,1,0,0
58,2,0,0
58,3,0,0
58,4,0,0
58,5,0,0
58,6,49,1
58,7,32,2
58,8,50,2
58,9,235,7
58,10,187,5
59,1,0,0
59,2,0,0
59,3,0,0
59,4,0,0
59,5,0,0
59,6,49,1
59,7,32,2
59,8,50,2
59,9,203,6
59,10,232,6
60,1,0,0
60,2,0,0
60,3,0,0
60,4,0,0
60,5,0,0
60,6,49,1
60,7,32,2
60,8,50,2
60,9,161,5
60,10,274,7
61,1,0,0
61,2,0,0
61,3,0,0
61,4,0,0
61,5,0,0
61,6,49,1
61,7,32,2
61,8,50,2
61,9,161,5
61,10,274,7
62,1,0,0
62,2,0,0
62,3,0,0
62,4,0,0
62,5,0,0
62,6,49,1
62,7,32,2
62,8,50,2
62,9,161,5
62,10,274,7
63,1,0,0
63,2,0,0
63,3,0,0
63,4,0,0
63,5,0,0
63,6,49,1
63,7,80,3
63,8,50,2
63,9,161,5
63,10,234,6
64,1,0,0
64,2,0,0
64,3,0,0
64,4,0,0
64,5,0,0
64,6,49,1
64,7,80,3
64,8,50,2
64,9,204,6
64,10,224,5
65,1,0,0
65,2,0,0
65,3,0,0
65,4,0,0
65,5,0,0
65,6,49,1
65,7,80,3
65,8,50,2
65,9,204,6
65,10,178,4
66,1,0,0
66,2,0,0
66,3,0,0
66,4,0,0
